"ID","参照記号","パッケージ","数","名称","Supplier and ref",
1,"REF2,REF1","MountingHole_3mm",2,"MountingHole_3mm",,,
2,"P1","pinhead-1X03",1,"Conn_01x03",,,
3,"U1","SPU0410LR5H",1,"SPU0410LR5H",,,
4,"C2,C1","generic-SMD1608",2,"4.7u",,,
5,"C3","C-1206",1,"0.1u",,,
6,"C4","generic-SMD1608",1,"0.1u",,,
7,"R1,R2,R3","generic-SMD1608",3,"10k",,,
8,"R4","generic-SMD1608",1,"500k",,,
9,"U2","SC-70-5",1,"LM321",,,
